technology,dst_region,region,agent,sector,type,year,capacity
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2040,1.82690000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,1.26700000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,7.66680000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,1.11300000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,25.97930000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2040,81.14380000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2040,15.74430000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2040,35.62340000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2040,8.09780000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2040,3.27520000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2040,23.35460000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2040,5.81080000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2040,1.61310000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2040,3.60620000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2040,7.04550000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2045,0.22070000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2045,44.73990000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2045,86.52480000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2045,55.74080000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2045,97.47640000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2045,114.19410000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2045,28.03590000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2045,29.85240000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2045,49.30760000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2045,47.45060000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2045,47.68180000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,63.96350000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,114.29170000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,67.75190000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,125.13390000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,59.52580000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,82.36740000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,65.02450000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,64.26830000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,102.77720000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,117.20170000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2045,0.70500000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,52.03110000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,66.57080000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,56.09510000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,55.50080000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,31.04970000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2045,6.28510000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2045,1.52950000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2045,27.44140000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2045,24.59280000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2045,1.09620000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,0.76020000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,7.66680000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,1.11300000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,25.97930000000
