,timeslice,region,technology,year,agent,category,sector,LCOE
22590,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,38.03231625333
22591,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,38.03231625333
22592,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,31.06159553261
22593,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,38.03231625333
22594,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,31.06159553261
22595,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,38.03231625333
22596,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,31.06159553261
22597,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,38.03231625333
22598,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,31.06159553261
22599,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,38.03231625333
22600,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,0.00000000000
22601,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,0.00000000000
22602,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,25.77502705772
22603,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,13.13066928338
22604,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,26.17923447749
22605,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,83.75616716917
22606,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,26.17923447749
22607,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,55.53955344606
22608,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,48.42029798483
22609,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,30.95373549481
22610,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,30.95373549481
22611,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,35.12046540087
22612,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,35.12046540087
22613,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,28.14974468015
22614,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,35.12046540087
22615,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,28.14974468015
22616,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,35.12046540087
22617,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,28.14974468015
22618,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,35.12046540087
22619,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,28.14974468015
22620,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,35.12046540087
22621,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,0.00000000000
22622,"('winter', 'all-week', 'day')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,0.00000000000
22623,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,10.86098370366
