,region,year,agent,replacement_,asset_,month,day,hour,LCOE,category,name
102,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Light Fuel Oil Power Plant,winter,all-week,day,38.62963780822227,retrofit,A1
103,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Light Fuel Oil Power Plant,winter,all-week,night,232.80793458968628,retrofit,A1
104,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Medium Hydropower Plant (10-100MW),autumn,all-week,day,38.62963780822228,retrofit,A1
105,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Medium Hydropower Plant (10-100MW),autumn,all-week,night,232.80793458968623,retrofit,A1
106,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Medium Hydropower Plant (10-100MW),spring,all-week,day,38.62963780822228,retrofit,A1
107,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Medium Hydropower Plant (10-100MW),spring,all-week,night,232.80793458968623,retrofit,A1
108,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Medium Hydropower Plant (10-100MW),summer,all-week,day,38.62963780822228,retrofit,A1
109,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Medium Hydropower Plant (10-100MW),summer,all-week,night,232.80793458968623,retrofit,A1
110,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Medium Hydropower Plant (10-100MW),winter,all-week,day,38.62963780822228,retrofit,A1
111,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Medium Hydropower Plant (10-100MW),winter,all-week,night,232.80793458968623,retrofit,A1
112,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Oil Fired Gas Turbine (SCGT),autumn,all-week,day,38.62963780822227,retrofit,A1
113,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Oil Fired Gas Turbine (SCGT),autumn,all-week,night,232.80793458968625,retrofit,A1
114,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Oil Fired Gas Turbine (SCGT),spring,all-week,day,38.62963780822227,retrofit,A1
115,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Oil Fired Gas Turbine (SCGT),spring,all-week,night,232.80793458968625,retrofit,A1
116,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Oil Fired Gas Turbine (SCGT),summer,all-week,day,38.62963780822227,retrofit,A1
117,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Oil Fired Gas Turbine (SCGT),summer,all-week,night,232.80793458968625,retrofit,A1
118,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Oil Fired Gas Turbine (SCGT),winter,all-week,day,38.62963780822227,retrofit,A1
119,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Oil Fired Gas Turbine (SCGT),winter,all-week,night,232.80793458968625,retrofit,A1
120,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Onshore Wind,autumn,all-week,day,38.62963780822226,retrofit,A1
121,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Onshore Wind,autumn,all-week,night,232.8079345896862,retrofit,A1
122,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Onshore Wind,spring,all-week,day,38.62963780822226,retrofit,A1
123,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Onshore Wind,spring,all-week,night,232.8079345896862,retrofit,A1
124,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Onshore Wind,summer,all-week,day,38.62963780822226,retrofit,A1
125,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Onshore Wind,summer,all-week,night,232.8079345896862,retrofit,A1
126,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Onshore Wind,winter,all-week,day,38.62963780822226,retrofit,A1
127,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Onshore Wind,winter,all-week,night,232.8079345896862,retrofit,A1
128,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Distributed with Storage),autumn,all-week,day,38.62963780822227,retrofit,A1
129,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Distributed with Storage),autumn,all-week,night,232.80793458968625,retrofit,A1
130,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Distributed with Storage),spring,all-week,day,38.62963780822227,retrofit,A1
131,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Distributed with Storage),spring,all-week,night,232.80793458968625,retrofit,A1
132,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Distributed with Storage),summer,all-week,day,38.62963780822227,retrofit,A1
133,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Distributed with Storage),summer,all-week,night,232.80793458968625,retrofit,A1
134,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Distributed with Storage),winter,all-week,day,38.62963780822227,retrofit,A1
135,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Distributed with Storage),winter,all-week,night,232.80793458968625,retrofit,A1
136,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Utility),autumn,all-week,day,38.62963780822227,retrofit,A1
