,timeslice,region,technology,year,agent,category,sector,LCOE
28892,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,0.00000000000
28893,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,0.00000000000
28894,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,0.00000000000
28895,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,0.00000000000
28896,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,27.88415515128
28897,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,14.46556048184
28898,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,17.00394691395
28899,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,85.17750987284
28900,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,17.00394691395
28901,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,56.91970595809
28902,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,58.11231839816
28903,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,37.83809853894
28904,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,37.83809853894
28905,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,14.46556048184
28906,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,27.88415515128
28907,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,14.46556048184
28908,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,27.88415515128
