ProcessName,RegionName,Time,StdUnitCapacity,TechnicalLife,GrossEfficiency,OwnUseRate,Availability,MinLoadRate,CCSCaptureRate,DayStorageOutput,CAPEX,OPEX,DiscountRate,RunningCost
Unit,Unit,Year,MW,Year,%,%,%,%,%,GWh,USD/KW,USD/KW,%,USD/KWh
CCS_USC_PRE_HC,ASEAN,2030,5000,40,38,7,95,0,85,0,2993.815765,89.81447295,10,0.001
COA_SC_LN,ASEAN,2030,5000,40,38,7,95,0,0,0,1535.798136,30.71596273,10,0.001
COA_IGCC_LN,ASEAN,2030,5000,40,46,7,95,0,0,0,2465.495336,49.30990672,10,0.001
CCS_USC_POS_LN,ASEAN,2030,5000,40,34,7,95,0,85,0,2430.567485,72.91702456,10,0.001
CCS_NGCC_POS,ASEAN,2030,5000,35,52,7,95,0,85,0,1053.04328,26.326082,10,0.001
OIL_ST,ASEAN,2030,5000,30,38,7,95,0,0,0,1199.070766,28.77769839,10,0.001
STR_HPS,ASEAN,2030,1000,60,80,0,98,0,0,0.6,2394.092,47.88183,10,0.001
STR_BAT,ASEAN,2030,1000,60,80,0,98,0,0,0.6,239.5,2.395,10,0.001
REW_WND_ON,ASEAN,2035,1000,20,100,0,95,0,0,0,1333.91,21.55,10,0.001
REW_WND_OFF,ASEAN,2035,1000,20,100,0,95,0,0,0,2874.42,44.33,10,0.001
REW_PV_GND,ASEAN,2035,1000,30,100,6,95,0,0,0,759.22,6.65,10,0.001
REW_PV_RFT,ASEAN,2035,1000,25,100,6,95,0,0,0,1207.94,9.58,10,0.001
REW_CSP_NST,ASEAN,2035,1000,25,100,0,95,0,0,0,3670,14.7,10,0.001
COA_SUB_HC,ASEAN,2035,5000,30,35,7,95,0,0,0,1070.99,21.42,10,0.001
COA_SUB_LN,ASEAN,2035,5000,30,34,7,95,0,0,0,1124.54,22.49,10,0.001
COA_USC_HC,ASEAN,2035,5000,30,48.5,7,95,0,0,0,1653.447269,33.06894538,10,0.001
COA_USC_LN,ASEAN,2035,5000,30,45.5,7,95,0,0,0,1736.119632,34.72239265,10,0.001
GAS_CC,ASEAN,2035,5000,30,59.5,7,95,0,0,0,1225.18,16.24,10,0.001
CCS_NGCC_OXY,ASEAN,2035,5000,30,50.75,7,95,0,85,0,2192.06,61.55,10,0.001
GAS_GT,ASEAN,2035,5000,35,38.5,7,95,0,0,0,892.8499252,11.8349,10,0.001
REW_GEO,ASEAN,2035,1000,40,10,6,95,0,0,0,4089.23,31.46,10,0.001
REW_HYD_LG,ASEAN,2035,1000,100,100,1,95,0,0,0,3601.16,33.59,10,0.001
REW_HYD_SM,ASEAN,2035,1000,100,100,1,95,0,0,0,2016.87,18.81,10,0.001
NUK_LWR,ASEAN,2035,5000,40,37,6,95,60,0,0,4073.16,44.32,10,0.001
BIO_BIO,ASEAN,2035,3000,30,30,7,95,0,0,0,5111.67,49.59,10,0.001
CCS_IGCC_BIO,ASEAN,2035,3000,30,37,7,95,0,85,0,4435.54,69.77,10,0.001
COA_SC_HC,ASEAN,2035,5000,40,40,7,95,0,0,0,1462.664892,29.25329784,10,0.001
COA_IGCC_HC,ASEAN,2035,5000,40,49,7,95,0,0,0,2299.172238,45.98344476,10,0.001
CCS_USC_POS_HC,ASEAN,2035,5000,40,40.5,7,95,0,85,0,2239.342714,67.18028143,10,0.001
CCS_USC_OXY_HC,ASEAN,2035,5000,40,40.5,7,95,0,85,0,2390.309639,71.70928916,10,0.001
CCS_USC_PRE_HC,ASEAN,2035,5000,40,40,7,95,0,85,0,2883.749009,86.51247027,10,0.001
COA_SC_LN,ASEAN,2035,5000,40,38,7,95,0,0,0,1535.798136,30.71596273,10,0.001
COA_IGCC_LN,ASEAN,2035,5000,40,47,7,95,0,0,0,2414.13085,48.282617,10,0.001
CCS_USC_POS_LN,ASEAN,2035,5000,40,35.25,7,95,0,85,0,2351.30985,70.5392955,10,0.001
CCS_NGCC_POS,ASEAN,2035,5000,35,52.5,7,95,0,85,0,1036.589479,25.91473697,10,0.001
OIL_ST,ASEAN,2035,5000,30,38.5,7,95,0,0,0,1199.070766,28.77769839,10,0.001
STR_HPS,ASEAN,2035,1000,60,80,0,98,0,0,0.6,2394.092,47.88183,10,0.001
STR_BAT,ASEAN,2035,1000,60,80,0,98,0,0,0.6,189.1,1.891,10,0.001
REW_WND_ON,ASEAN,2040,1000,20,100,0,95,0,0,0,1288.82,20.68,10,0.001
REW_WND_OFF,ASEAN,2040,1000,20,100,0,95,0,0,0,2560.27,42.11,10,0.001
REW_PV_GND,ASEAN,2040,1000,30,100,6,95,0,0,0,682.93,6.06,10,0.001
REW_PV_RFT,ASEAN,2040,1000,25,100,6,95,0,0,0,1028.46,8.59,10,0.001
REW_CSP_NST,ASEAN,2040,1000,25,100,0,95,0,0,0,3313,13.3,10,0.001
COA_SUB_HC,ASEAN,2040,5000,30,35,7,95,0,0,0,1070.99,21.42,10,0.001
COA_SUB_LN,ASEAN,2040,5000,30,34,7,95,0,0,0,1124.54,22.49,10,0.001
COA_USC_HC,ASEAN,2040,5000,30,49,7,95,0,0,0,1653.447269,33.06894538,10,0.001
COA_USC_LN,ASEAN,2040,5000,30,46,7,95,0,0,0,1736.119632,34.72239265,10,0.001
GAS_CC,ASEAN,2040,5000,30,60,7,95,0,0,0,1225.18,16.24,10,0.001
