,timeslice,commodity,region,installed,technology,year,agent,category,sector,supply
9841,"('winter', 'all-week', 'day')",coal,Kenya,2040.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9842,"('winter', 'all-week', 'day')",coal,Kenya,2040.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9843,"('winter', 'all-week', 'day')",coal,Kenya,2045.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9844,"('winter', 'all-week', 'day')",coal,Kenya,2045.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9845,"('winter', 'all-week', 'day')",coal,Kenya,2045.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9846,"('winter', 'all-week', 'day')",coal,Kenya,2045.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9847,"('winter', 'all-week', 'day')",coal,Kenya,2050.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9848,"('winter', 'all-week', 'day')",coal,Kenya,2050.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9849,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9850,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9851,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Large Hydropower Plant (Dam) (>100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9852,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Light Fuel Oil Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9853,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Medium Hydropower Plant (10-100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9854,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Oil Fired Gas Turbine (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
9855,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9856,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Solar PV (Distributed with Storage),2050.00000000000,A1,retrofit,power,0.00000000000
9857,"('winter', 'all-week', 'day')",gas,Kenya,2020.00000000000,Solar PV (Utility),2050.00000000000,A1,retrofit,power,0.00000000000
9858,"('winter', 'all-week', 'day')",gas,Kenya,2025.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9859,"('winter', 'all-week', 'day')",gas,Kenya,2030.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9860,"('winter', 'all-week', 'day')",gas,Kenya,2035.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9861,"('winter', 'all-week', 'day')",gas,Kenya,2040.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9862,"('winter', 'all-week', 'day')",gas,Kenya,2040.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9863,"('winter', 'all-week', 'day')",gas,Kenya,2040.00000000000,Gas Power Plant (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
9864,"('winter', 'all-week', 'day')",gas,Kenya,2040.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9865,"('winter', 'all-week', 'day')",gas,Kenya,2040.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9866,"('winter', 'all-week', 'day')",gas,Kenya,2045.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9867,"('winter', 'all-week', 'day')",gas,Kenya,2045.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9868,"('winter', 'all-week', 'day')",gas,Kenya,2045.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9869,"('winter', 'all-week', 'day')",gas,Kenya,2045.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9870,"('winter', 'all-week', 'day')",gas,Kenya,2050.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9871,"('winter', 'all-week', 'day')",gas,Kenya,2050.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9872,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
